system,path,name,ssId,region,desc,rating,releasedate,developer,publisher,genre,players,3dboxes,physicalmedia,marquees,videos,screenshots,titlescreens,fanarts
atari2600,Bugs Bunny (USA) (Proto 2).zip,Yes,37692,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bump 'n' Jump (Europe).zip,Yes,51330,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bump 'n' Jump (USA).zip,Yes,51330,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bumper Bash (Europe).zip,Yes,14071,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Bumper Bash (USA).zip,Yes,14071,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,BurgerTime (USA).zip,Yes,37693,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Burning Desire (Europe).zip,Yes,51193,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Burning Desire (USA).zip,Yes,51193,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cabbage Patch Kids - Adventures in the Park (USA) (Proto) (1984-09-13).zip,Yes,51194,us,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,
atari2600,Cakewalk (Europe).zip,Yes,14116,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cakewalk (USA).zip,Yes,14116,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,California Games (Europe).zip,Yes,58693,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,California Games (USA).zip,Yes,58693,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Canyon Bomber (USA).zip,Yes,14073,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Care Bears (USA) (Proto).zip,Yes,59419,us,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,
atari2600,Carnival (Europe).zip,Yes,37694,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Carnival (USA).zip,Yes,37694,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Casino (Europe).zip,Yes,14065,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Casino ~ Poker Plus (USA).zip,Yes,14065,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cat Trax (USA).zip,Yes,59420,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cathouse Blues (USA).zip,Yes,51195,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Centipede (Europe).zip,Yes,37695,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Centipede (Europe) (Beta).zip,Yes,37695,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Centipede (Japan, USA).zip",Yes,37695,"us,jp",Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Challenge (Canada).zip,Yes,51196,ca,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Challenge of.... NEXAR, The (Europe).zip",Yes,51197,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Challenge of.... NEXAR, The (USA).zip",Yes,51197,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Championship Soccer (Europe).zip,Yes,14135,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Championship Soccer ~ Soccer (USA).zip,Yes,14135,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Chase the Chuck Wagon (USA).zip,Yes,87723,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Checkers (USA).zip,Yes,14085,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,China Syndrome (Europe).zip,Yes,37697,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,China Syndrome (USA).zip,Yes,37697,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Chopper Command (Europe).zip,Yes,58694,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Chopper Command (USA).zip,Yes,58694,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Chuck Norris Superkicks (USA).zip,Yes,59422,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Circus Atari (Europe).zip,Yes,14134,eu,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,"Circus Atari (Japan, USA).zip",Yes,14134,"us,jp",Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Coco Nuts (USA).zip,Yes,51199,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Codebreaker (Europe).zip,Yes,87726,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Codebreaker (USA).zip,Yes,87726,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Col 'N' (Europe) (Unl).zip,,,,,,,,,,,,,,,,,
atari2600,Color Bar Generator (USA).zip,,,,,,,,,,,,,,,,,
atari2600,Colors (Europe) (Proto).zip,,,,,,,,,,,,,,,,,
atari2600,Combat (Europe).zip,Yes,14006,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Combat Two (USA) (Proto).zip,Yes,59424,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Combat ~ Tank-Plus (USA).zip,,,,,,,,,,,,,,,,,
atari2600,Commando (Europe).zip,Yes,37701,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Commando (USA).zip,Yes,37701,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Commando (USA) (Alt 1).zip,Yes,37701,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Commando Raid (Europe).zip,Yes,59425,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Commando Raid (USA).zip,Yes,59425,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Communist Mutants from Space (Europe).zip,Yes,87729,eu,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Communist Mutants from Space (Europe) (Beta).zip,,,,,,,,,,,,,,,,,
atari2600,Communist Mutants from Space (USA).zip,Yes,87729,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Communist Mutants from Space (USA) (Beta).zip,,,,,,,,,,,,,,,,,
atari2600,Computer Chess (USA) (Proto).zip,,,,,,,,,,,,,,,,,
atari2600,Condor Attack (USA).zip,Yes,51201,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Confrontation (USA) (Proto).zip,Yes,51202,us,Yes,,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,
atari2600,Congo Bongo (USA).zip,Yes,37702,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cookie Monster Munch (USA).zip,Yes,37703,us,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cosmic Ark (USA).zip,Yes,59427,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cosmic Commuter (USA).zip,Yes,14104,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cosmic Creeps (USA).zip,Yes,58698,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Cosmic Swarm (USA).zip,Yes,59428,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Crack'ed (USA) (Proto).zip,Yes,51204,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Crackpots (USA).zip,Yes,37705,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
atari2600,Crash Dive (USA).zip,Yes,59429,us,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,,,
